text,label
Les amours s'en vont.,5
Regardant autour d'elle.,0
Furibon sort ; et Thibaut emmène les meuniers.,5
Jacquette sort au commencement de la scène.,5
Air 192 : de M. Gillier.,8
Relisant la lettre.,0
"Alors il se doit faire un grand cri par ceux qui représenteront les soldats et le peuple, donc l'un parlera.",3
Frédéric sort.,5
"Philippin paraît avec un pourpoint d'une façon, un haut-de-chausse de l'autre, un canon à une jambe, et tout ce qui peut rendre ridicule une personne habillée de deux habits si différents.",10
À Eve.,12
Le choeur répète ces trois derniers vers.,3
Air : Ce boudoir est mon parnasse.,8
À Julie.,12
Air : Il a voulu.,8
"Le lieu de la scène est un amphithéâtre, au-delà duquel on voit le temple de Jupiter.",11
Ils aident Saint-Romain.,6
À ses femmes.,12
AIR : Orléans Boiginci.,8
À Achille.,12
À Dictime.,12
En montrant Frédéric.,0
Pour ce que Caliste voit cette même lettre où était l'écriture d'Agante.,0
Aux Coujurés.,12
Air : Les favoris de la gloire.,8
Allant à lui.,7
La Fleur se place sur un siège au coin du théâtre.,11
Ouvrant la porte du premier plan.,0
"Perillo, en sortant, rencontre Minuccio et échange quelques mots avec lui.",5
COUPLETS.,8
Il le saisit par le bras.,6
Air : À notre bonheur l'Amour préside.,8
En frappant de sa gaule sur sa jambe par bravade.,1
Elles sortent avec Monsieur Mignard.,5
Il la fait relever.,0
Il crie de toute sa force.,3
À Dorante et Fernand.,12
Elle se desserre.,10
Il lui rend celui qu'il tient.,10
AIR 106. ( Un jour dans un plein repos. ),8
Apercevant Zonglio Giannilaro.,0
En montrant Mélite.,0
À Manette.,12
Air : De la Soirée orageuse.,8
Il va pour sortir et voit rentrer Pierrette.,5
Elle lève la tapisserie.,11
Il entre.,5
"AIR. N'oubliez pas votre houlette, etc.",8
LA GUENON ET SON MAITRE,8
Les garçons s'en vont.,5
Il prépare ce qu'il faut pour écrire.,0
Air : Mes bons amis.,8
Elle recule de quelques pas.,7
À Terville.,12
"PREMIER TABLEAU - Au lever du rideau, le théâtre est dans l'obscurité : aucun acteur n'est en scène, excepté le bon Ange et le mauvais Ange de la famille de Marana, placés sur un piédestal, à la droite des spectateurs. Le mauvais Ange est renversé sur le dos, dans l'attitude d'un vaincu le bon Ange est debout près de lui, le glaive à la main et un pied sur sa poitrine. Ils doivent avoir l'apparence d'un groupe de bois sculpté et peint.",11
"Le mousse prend un cordage fin et long et en donne un bout à La Béjart et l'autre à Molière. Tout en dansant et en saluant, ils procèdent à l'attachement de La Forest qui ne bouge pas. Puis, ils font l'inverse et saluent profondément en regardant leurs chaussures. La musique s'arrête. On n'entend plus le canon. Le chef indien salue, fait signe au second de repartir. Les deux se retirent. Les comédiens et matelots restent un moment dans leur pause de révérence.",9
Ironiquement.,3
Il aperçoit l'anse au collier de Caquire.,0
Il contrefait les cris d'un enfant.,3
AIR De Joconde.,8
Le théâtre représente la chambre où est le trône d'Assuérus.,11
Montrant Valcour.,0
Air : De la Romance de Daphné.,8
Il les chasse.,7
Ouvrant la lettre.,0
Le Roi de Prusse donne un coup de sceptre sur les doigts de l'impératrice.,1
Apercevant François.,0
Il serre l'écu.,10
AIR : Carillon de Mélusine.,8
"Air : Vraiment ma Commère, oui.",8
César s'assied.,0
Air. Attendez-moi sous l'Orme.,8
"Un bruit très fort se renouvelle et s'approche jusqu'aux portes. On entend un geôlier ouvrir ; il traverse la scène, va frapper à une porte : il est suivi d'Aubry, qui arrive à la même porte à la hâte, et qui appelle à haute voix le gouverneur de la bastille. Le gouverneur descend, accompagné de Turiaf et de Halfrenas.",9
Il dit bas ce vers.,3
Argante sort.,5
La fée lui donne le flacon.,10
Les prêtres lient Agag sur la table.,1
Il le lève avec fureur.,0
Le théâtre représente les Enfers.,8
AIR : Quand je bois de ce jus d'octobre.,8
Air du vaudeville des deux veuves.,8
Essayant de reprendre quelque calme.,3
Il pèse le rouleau dans ses mains.,0
Ayant regardé partout.,0
Blaise se promène en se carrant.,7
Elle s'éloigne.,7
Air : Les yeux baissés par modestie. N° 5.,8
"Pendant ces vers de Wallstein, Illo sort.",5
Il tire deux bagues de son doigt.,10
"Il montre son pouce, le premier doigt et le second.",0
En montrant sa massue.,0
À Ricardo.,12
Air 69 : La Ceinture.,8
Le Greffier écrit.,0
Pendant cet air le peuple s'assemble et prend les armes.,11
Ils sortent en se faisant de grandes démonstrations.,5
Voyant Hortense.,0
"Il met la main sur la garde de son épée, comme s'il la voulait tirer.",1
En la baisant.,6
Air : L'acte de générosité (de la petite Métromanie.),8
"Pendant qu'il est dans cette situation, Cécile et Germeuil entrent.",4
À Blépharon.,12
Toutes les dames regardent soudain le visage du Chambellan.,0
Il heurte à la porte.,0
"AIR 42. Dupont, mon ami.",8
"AIR 51. ( Allons voir, trois fois. )",8
Il remet sa bague.,10
Il sort vivement par le fond à droite.,5
Il tape du pied.,0
Il montre Rosette.,0
Elle lui présente deux billets.,0
Il tire une toilette où est encore une robe de chambre.,10
Elle parle au Geôlier.,12
Il sort le cheval du brancard.,5
Air : Dans les Gardes Françaises.,8
Il lui donne sa cassolette.,10
À Madame Bobinette,12
Durant ce temps Clitandre et Élise sont assis sans parler.,0
Elle prend une sonnette sur la cheminée.,0
À Turenne.,12
"Roland, parle à Temire.",12
Il tire un poignard.,1
Air : Du Jockey.,8
Le fond du théâtre s'ouvre et laisse voir des Autels sur lequel sont des poignards.,11
