text,label
À Landry.,12
"les prisonniers s'avancent lentement par groupes séparés, les étudiants avec les étudiants, bourgeois et marchands ensemble, le soldat seul. Les vieux semblent accablés de fatigue et de douleur. Pendant toute cette scène et les deux qui suivent, on continue d'entendre par moments les fanfares et les chants de la salle voisine.",9
À Robespierre et Danton.,12
À Benoît en lui montrant les cartes qui sont sur la table.,12
Air 173 : Iris au bord de Seine.,8
"Les Plaisirs, les Amants fortunés, et les Amantes heureuses se retirent.",5
Il lui donne un porte-feuille.,10
Il se retirent.,5
On déroule les tapisseries.,11
À Elismène.,12
Air 38 : Les Feuillantines.,8
Les apercevant.,0
Ils se remettent à table.,0
"Le théâtre représente la capitale du Barostan, avec son Port de Mer.",11
Il baise sa main.,6
"DÉCORATION DU PREMIER ACTE. L'AURORE. Vaste terrain, inégal, bords d'arbres de l'Amérique. À droite, sur levant-Scène, tronc d'arbre qui supporte un trophée d'arcs, de flèches et de casse-têtes. À gauche vis-à-vis, fontaine jaillissante d'un rocher, où sont suspendus des rames, des calumets et des coquillages. Au centre, pierre triangulaire, haute de deux pieds. Dans le fonds, montagne à gauche, vaste horizon à droite. Le village de Chérokis, situé au pied de la montagne s'élève de gauche à droite. Calumet de guerre, rouge orné de plumes noires.",11
Elle tombe dans les bras de Fanie.,0
Il embrasse sa soeur.,6
Henriquez donne les cartes.,10
À Cassie.,12
"Ils cessent de le berner. Il se relève et prend la fuite, mais un des lutins court après lui et l'attrape à l'entrée de la coulisse, ou, pour mieux dire, on donne au lutin dans la coulisse un Arlequin empaillé qu'il emporte sur le haut d'un rocher. Pendant ce temps-là, d'autres lutins vont à Léandre et un deux lui dit :",9
"III. Si quatre petits Amours que Diane menait à la chasse, ayant fait cette découverte, ne lui eussent enlevé sa proie.",4
Elle va essayer le chapeau devant la glace ; puis revient vers la table.,10
Regardant Julie.,0
"Alcandre et Geraste prennent chacun un bras d'Elomire, et lui tâtent le pouls.",6
Il s'approche d'elle familièrement.,7
Tirant son flacon.,10
À Annette.,12
Le théâtre représente une forêt.,11
La chambre de Lorenzo.,11
La scène est dans l'anti-chambre du vicomte de Guermont.,11
Le théâtre change et représente l'appartement de la Reine.,11
AIR : De quoi vous plaignez vous ?,8
À Olympie.,12
À deux de ses laquais.,12
À Valère qui veut sortir.,12
À Tronquay. Portant sa boîte à couleurs sur le guéridon.,12
Aux Druides qui l'ont amené.,12
Elle y va.,5
Lui prenant les mains.,6
Il met sa couronne sur la tête de la statue de Molière.,10
Avec un cri.,3
Les Esprits bienfaisants paraissent et environnent Amélite.,4
Elle prend contre lui toutes les précautions imaginables.,6
Montrant Pierrette.,0
Entre Salviati.,4
"Il appuie une main sur l'épaule du Baron, et l'autre sur sa tête ; après un instant il continue.",6
MADRIGAL EN VERS PRÉCIEUX.,8
Il veut lui baiser les mains.,6
Salomé entre.,4
Achevant de lire tout bas.,0
Pharnace sort avec Émile et les Citoyens de Sinope.,4
Montrant deux petites bouteilles d'échantillon.,0
Il lui ôte sa Brandebourg.,10
Claudine sort.,5
À Madame Béverlei.,12
Il va sortir.,5
Le choeur répète ces deux derniers vers.,3
Il montre la manne.,0
"Les zephyrs paraissent dans une gloire élevée et brillante. Les peuples différents qui sont venus à la fête de Cybèle entrent dans le temple, et tous ensemble s'efforcent d'honorer Atys, qui vient revêtu des habits de grand sacrificateur. Cinq zephyrs dansants dans la gloire. Huit zephyrs jouants du haut-bois et des cromornes, dans la gloire. Cinq zephyrs jouants du haut-bois. Trois cromornes jouants dans la gloire. Troupe de peuples différents chantants qui accompagnent Atys. Six indiens et six Égyptiens dansants. Six indiens. Six Égyptiens.",9
À Mélite.,12
Il se lève et se promène en chantant.,0
Air 195. Parodie d'Armide.,8
Un petit salon chez Madame de Lancy. Porte au fond et a gauche. Un guéridon au milieu. Fauteuils.,11
Elle le rejette.,6
Ariston sort.,5
À Doligni père.,12
Sifroy rougit et pâlit de fureur à ces paroles.,3
S'apprêtant à sortir du sac.,5
Il tend la main pour prendre la main de la comtesse.,6
Il montre la Marquise.,0
Il tâche encore de prendre la lettre.,10
Avec calme.,3
À Porus.,12
À Jean Bonnin.,12
"À son fils,",12
Il jette le billet.,10
Dumont sort.,5
Elle va regarder par la fenêtre du fond.,0
"Il prend terre et après s'être secoué comme un barbet qui sort de l'eau, il dit:",10
"Tirrène, Trasibule, Iphis et la suite sortent.",5
Le Magister voulant se relever.,0
À une partie des sénateurs.,12
"À gauche, le logis de M. Astringent. Le théâtre portatif d'un marchand d'orviétan s'élève au fond de la scène.",11
AIR. Noté N°10.,8
Air : Souvent je voyais sous l'ormeau.,8
"On tire un rideau, et Cléopâtre parée, est sur un beau lit, Eras à ses pieds.",11
Air : Il faut quand l'Amour nous presse.,8
Air. A sa voisine.,8
À un Laquais.,12
Se frappant la tête du poing.,1
Il aperçoit Colombine.,0
Second tableau.,8
Examinant le coffret.,0
Il lui tend sa carte.,10
À l'Abbé de Rimeville.,12
Alain rentre.,4
AIR : J'espérais que ma flamme.,8
"À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes.",11
Aux prêtresses.,12
Air : Maman qu'est-ce qu'ils faisaient donc ?,8
Il l'entraîne de nouveau.,6
