text,label
Les Éthiopiens se placent sur les rochers qui bordent le rivage.,11
À Almoraddin.,12
Air : Morguienne de vous,8
AIR. Des Sabotiers Italiens.,8
"Il appuie une main sur l'épaule du Baron, et l'autre sur sa tête ; après un instant il continue.",6
À ses gens.,12
Montrant avec sa main.,0
Il fouille dans ses poches et en tire un papier.,0
Air : de l'Angélus.,8
Air : Le premier jour de mai,8
"Indatire passe dans le fond du théâtre, à la tête d'une troupe de guerriers.",11
SCÈNE PREMIÈRE.,8
Il le chasse.,6
Elle rajuste sa coiffe devant le miroir.,10
CHANSON EN DIALOGUE.,8
À son capitaine des gardes.,12
Il prélude.,3
Ils entrent avec précaution.,4
Au peuple et aux guerriers,12
AIR : Guillot un jour trouva Lisette.,8
Elle verse des larmes.,3
À Rodolphe.,12
"AIR : Que faites-vous, Marguerite.",8
La scène. Le décor représente une forêt vierge.,11
C'est son chapeau.,10
"Il signe, ainsi que Nicolas et Fanchette. Six jeunes filles apportent un bouquet et un guirlande. Fanchette se met à genoux ; deux jeunes filles chantent un duo du temps, tandis qu'on place la couronne sur la tête de la mariée ; la Comtesse et le Comte la relèvent, la prennent chacun par une main et sortent avec elle, tout le monde les suit.",9
À Roxelane.,12
"Il fait signe au Capitaine des Gardes d'éloigner Mariane, tandis qu'il recueille les voix.",7
Finette sort.,5
Air : C'est un enfant.,8
"AIR. L'équipage le plus en usage,",8
"Les esclaves se rangent autour d'eux, et forment un rempart, les soldats et grenadiers s'en approchent avec la baïonnette.",7
Ils se mettent à table.,10
Il tire l'épée sur lui.,1
Le théâtre représente un Bocage orné de tous les attributs des Arts.,11
"Il lève le sabre, et le Marchand abandonne sa perruque en fuyant.",1
Il retombe sur le bûcher.,0
Montrant Almanzor.,0
AIR : Je suis né natif de Ferrare.,8
"Ce bruit est causé par les voleurs, qui étant découverts tâchent à se sauver.",9
Elle lui jette un masque.,10
"AIR. L'occasion fait te larron, etc.",8
À du Clos.,12
"Les jeux, les plaisirs et les grâces paraissent.",4
Montrant Léonidas et les Sénateurs.,0
Avisant une bûche.,0
À Pylade.,12
AIR : Si la Belle.,8
"Elle anime les Femmes sur une musique plus douce et plus légère. Les Hommes dont les sens sont aussitôt frappés à la vue des femmes, courent à elles avec tout le feu des désirs. Elles se défendent de leurs caresses et les repoussent avec modestie et fierté. On voit arriver quatre petits amours qu'on reconnaît à leurs ailes ; le premier a le casque et la cuirasse ; le second la perruque carrèe et la robe de magistrat ; le troisième est doré comme Plutus, et le quatrième n'a qu'une petite perruque ronde avec un petit manteau noir sur l'habit couleur de chair des amours. Ils s'approchent des femmes et leur présentent des guirlandes de fleurs d'un air soumis et respectueux. Ils reprochent ensuite aux hommes, par leurs gestes et leur danse pittoresque, leurs manières vives et brusques, et finissent par leur enseigner la façon dont ils doivent s'y prendre pour plaire et se faire aimer. Les hommes instruits par les amours se mettent aux genoux des femmes qui les enchaînent avec les guirlandes.",9
Regardant le mobilier :,0
Il s'assoupit.,0
Elles sortent par la droite.,5
Air : Mon petit doigt me l'a dit.,8
Aux prisonniers.,12
"Et tout haut, il crie :",3
Le fond du théâtre s'ouvre et laisse voir des Autels sur lequel sont des poignards.,11
Il rosse le Maître.,1
Ils se relèvent.,0
Elle sort lentement les yeux baissés.,5
S'adressant à Damis.,12
L'apothicaire s'enfuit.,5
Remontant vers le fond en passant devant la table de droite.,11
Les trois autres répètent vers par vers.,3
Elle a écouté.,0
À Délie.,12
Marton arrive.,4
Il rit encore.,3
Air 2 : Quand je tiens de ce jus d'Octobre.,8
Le théâtre représente l'appartement d'Esther.,11
Monsieur Dubois fils embrasse tout le monde.,6
"On entend sonner, une fois, deux fois, trois fois, puis la sonnerie va [ca]rillonne sans s'arrêter.",0
À la Sourdière.,12
Air : De la Monaco.,8
Et lui prenant la main.,6
Bonhomme sort avec Rognelard qui gesticule.,5
À Philoctète.,12
Après un petit silence.,3
"Pendant cette scène, ils quittent tous deux leurs déguisements.",10
Air : C'est fait Minon Minette.,8
Elle parle bas.,3
Air : On passe les nuits à table.,8
Air : Sur des fleurs fraîchement écloses.,8
À Juba.,12
À des suivants.,12
Il reagarde.,0
Il sort en se couvrant.,5
Lui montrant la promesse.,0
Lettre d'Aerope.,8
Il lui donne la somme que Grégoire enferme dans son tablier.,10
En montrant Damon.,0
Il s'asseoit de nouveau.,0
En prenant tout-à-coup le ton de la plus grande confiance.,3
Elle veut prendre le bonnet.,10
Il se met à écrire.,0
"Hector Criquet est habillé de noir avec un manteau, une grande perruque sans poudre et un grand rabat.",10
"Octave vient donner une sérénade à Isabelle, le Docteur met la tête à la fenêtre et jette son pot de chambre sur la tête d'Octave qui se retire.",9
"Il attrape Pierrot par un pied et tire. Celui-ci se cramponne aux coussins avec des cris de merluche. On parvient à arracher Pierrot de cette voiture. Il donne, avec une tape amicale sur la joue, un louis de pourboire au cocher ébloui. On met Pierrot dans sa voiture où est déjà Colombinette. On ferme la portière. La noce monte dans les voitures, levant les bras au ciel et disant : Sauvés, mon Dieu ! Au moment où les voitures vont s'ébranler, Colombinette appelle. Quoi encore ? On constate que Pierrot s'est évadé par l'autre portière. Effectivement, on l'aperçoit courant au galop. On le poursuit. On le rattrape au marché aux fleurs de la Madeleine. Il révolutionne le marché, réclamant une plante inconnue qu'il appelle : Rosa sempervirens funulariflera. Il dit cela en montant et descendant la gamme, malgré son exaltation. On ne connaît que ça. Il cite Linné. En vain. Alors il se décide à acheter un bouquet de violettes de dix centimes. On le ramène. Il va offrir le bouquet de violettes à Madame Ventre. Pendant ce temps, on voit Arlequin qui console sa cousine Colombinette. - Un ivrogne passe.",9
On entend une symphonie brillante et douce alternativement.,8
AIR. De l'amour tout subit les lois. Du ballet des Sens.,8
"Blanche s'assied, inquiète, et regarde autour d'elle. Personne. À peine assis, ils se sentent gênés. Maurice n'ose pas « toucher » déjà, en le faisant exprès. Les branches minces remuent dans l'air doux. On distingue là-bas des monuments de Paris.",9
Le théâtre représente un bois consacré aux muses ; le Parnasse dans l'éloignement.,11
Roseline paraît au bout du théâtre.,4
[À la Reine].,12
Un nuage épais l'environne.,9
Le Serpent et la Lime.,8
PREMIÈRE CHANSON.,8
Elle entre dans l'hôtellerie.,5
Avec élan.,3
AIR : je ne m'y connais guère,8
Elle place le papier dans sa toilette.,10
"Le théâtre représente une salle meublée dans le costume du temps : on y voit deux portes. L'une est fermée, l'autre est entr'ouverte. Cette dernière donne dans une autre chambre qu'on entrevoit. Ce logement fait partie de la maison d'Hilaire.",11
"À Madame Leblanc, en la conduisant au bord de la scène.",12
Regardant son ouvrage.,0
Il écrit sur le mémoire.,0
"Les autres personnages s'écartent doucement et sortent, un à un.",7
Tous s'agenouillent ; les ouvriers s'agenouillent aussi autour de lui.,0
"Elle se lève, se met à la place de Maurice, ouvre le tiroir et y prend la boîte qu'elle montre à Maurice qui reste debout.",0
Il tire un billet de Loterie.,10
Il tire un cahier de sa poche.,10
"AIR : Est-ce un bonheur d'avoir un tirelire, lire, etc.",8
Il tire son billet de loterie.,10
À un Garde.,12
"Un Rideau s'ouvre au fond du Théâtre, et laisse voir un Salon rempli de musiciens, auxquels un Maître de musique bat la mesure : Il paraît en même temps un Professeur de Folie, suivi de plusieurs écoliers.",11
Air 132 : À l'ombre de ce vers bocage.,8
Air 13 : La Joconde.,8
Angélique ici redouble ses pleurs et sanglote davantage. Lucidor continue.,3
À Fablenville.,12
Il lui secoue le bras.,6
On entend un bruit de guerre.,9
À Iradan.,12
"La scène est divisée en deux. À droite, le cabinet du Ministre, vide au lever du rideau. À gauche, le bureau des expéditionnaires occupé par quatre employés : Choupouri, Ledrubète, Pancréas et Sainpol-Mépiè. Ces messieurs sont plongés dans l'ardeur du travail : Pancréas et Sainpol-Mépiè jouent une canette au zanzibar ; Ledrubète épluche des oeufs durs, tandis que Choupouri, gravement, s'apprend à faire le cul-de-jatte. Un téléphone relie les deux pièces l'une à l'autre.",11
Entre Albert.,4
Air 36. Perrette étant dessus l'herbette.,8
Ils sortent chacun de leur côté.,5
Il montre les seringues.,0
Il ôte les volets.,0
"Il chante, ture lure et flon, flon, flon, chacun a son ton, son allure, etc.",3
"Il prête l'oreille. Il semble entendre un bruit persistant. On monte l'étage. Sa tête effarée scande les pas de quelqu'un qui monte. Il souffle sa bougie et va se cacher derrière un rideau. La porte s'ouvre. On voit d'abord le rayon d'une lampe de poche. Puis, un homme entre avec précaution. C'est le capitaine, il a son casque et son revolver. La porte de la chambre d'Irma s'ouvre doucement.",9
"Le Marquis est en frac fort simple. Lépine et les Laquais ont des habits gris galonnés en argent, et des chapeaux avec des plumets blancs.",10
Montrant Pasquin.,0
Les peuples et le compagnons d'Alcide se retirent sur une fanfare.,7
Elle fait des noeuds.,3
On entend la voix du Comte appelant Valentin.,3
II s'éloigne avec elle.,5
AIR. Sur le pont d'Avignon.,8
Blanche joue : Il faut ici de la prudence.,8
À Lisidor.,12
Montrant son pied.,0
Elle relit.,0
"Au fond d'un salon très bien décoré on voit les apprêts d'un festin. La symphonie commence, et l'ordonnateur chante.",11
Dorante s'éloigne un peu.,7
Les tambours roulent plus fort.,9
COUPLET,8
Ils ont entendu l'aparte du chef.,0
Camille se retire disant.,5
Le bruit de chasse continue.,9
On entend une basse qui s'accorde.,8
"Le théâtre change, et représente une place publique, au milieu de laquelle est un bûcher.",11
Une auberge.,11
Spengler entre.,4
Il rit en se retournant.,3
Martin sort du côté des jardins.,5
Air 212 : De Monsieur Gellier.,8
Le Théâtre représente un salon meublé.,11
Air : Depuis que j'ai vu Nanette.,8
Voyant Hortense.,0
Une foule de courtisans circulent dans la salle et dans les environs.,4
Arnolphe la tire.,6
Il ôte sa fausse barbe.,10
AIR Je ne suis pas si Diable.,8
Air : Grimaudin.,8
Le théâtre représente le vestibule d'un Hôtel-de-Ville.,11
SCÈNE V.,8
"Il unit ses quatre enfants, et il dit :",7
"Le théâtre représente une mer et des rochers d'un côté, et de l'autre quelques arbres et des maisons.",11
Elle se lève et court se précipiter aux pieds de l'ange.,0
"Montrant son bracelet, que considèrent les Acteurs et que baise et rebaise Jovial.",0
Apercevant la sonnette.,0
Trouve les vers dans le gant.,0
N°2,8
"Il faut que dans cette scène Géronte et Lucinde séparent les deux Amants : et que Jacinte soit au milieu de tout, un peu derrière.",9
À Vénus.,12
Valérian poursuit à chanter.,3
AIR. (On n'aime point dans nos Forêts.),8
Elle rit comme une folle.,3
Elles s'en vont.,5
Il passe le premier.,7
Air 6 : Ô turlutaine !,8
"Le marchand s'approche pour prendre Ninette, qui lui donne un coup de houssine sur la figure. L'homme s'éloigne, en disant :",7
"Tandis que le père de famille erre, accablé de tristesse, entre un inconnu, vêtu comme un homme du peuple, en redingote et en veste, les bras cachés sous sa redingote, et le chapeau rabattu et enfoncé sur les yeux. Il s'avance à pas lents. Il paraît plongé dans la peine et la rêverie. Il traverse sans apercevoir personne.",9
"À part, en s'en allant.",2
"Placide, Phylazie, Périmène, Palestrion, et les valets rentrent.",5
Apparition de Monsieur Badin.,4
"Les sans-culottes, qui ont voulu jouir de loin de l'embarras des rois réduits à la famine, reviennent dans l'île pour y rouler une barrique de biscuit au milieu des rois affamés.",9
À la Critique.,12
Au Docteur.,12
AIR : d'Atys.,8
Sandoval entre.,4
Licas se retire,5
"Air : Point de bruit, etc.",8
Elle sort et le laisse.,5
Le Théâtre représente un Bois fleuri s consacré à la Jeunesse.,11
AIR. Avez-vous vu ce héros.,8
